job_title,company,salary,location,classification,work_type,technical_skills,posted_date,job_id_url
Supply Chain Analyst (Graduate),Zurich Financial Services Australia,N/A,"North Sydney, Sydney NSW",Business/Systems Analysts (Information & Communication Technology),Full time,SQL Analytics ml ai AI Jira r Python ML,2024-10-12,https://www.seek.com.au/job/79440953?type=promoted&ref=search-standalone&origin=cardTitle
Project Operations Performance Analyst,Protecht Group,N/A,Sydney NSW,Analysts (Consulting & Strategy),Full time,SQL Analytics R Java ai r,2024-10-01,https://www.seek.com.au/job/79174328?type=promoted&ref=search-standalone&origin=cardTitle
Data Analyst (APS6),Department of Education,Attractive Salary + 15.4% Superannuation,Sydney NSW,Government - Federal (Government & Defence),Full time,R statistical r ai,2024-10-17,https://www.seek.com.au/job/79560131?type=standout&ref=search-standalone&origin=cardTitle
Data and Process Analyst,ISS Facility Services,Flexible work arrangements.,"Macquarie Park, Sydney NSW",Business/Systems Analysts (Information & Communication Technology),Full time,SQL R Excel ai r,2024-10-25,https://www.seek.com.au/job/79726671?type=standout&ref=search-standalone&origin=cardTitle
Reporting Analyst,ALDI Stores Australia,"$130,000 – $150,000 per year","Minchinbury, Sydney NSW",Developers/Programmers (Information & Communication Technology),Full time,Analytics R ai r analytics Tableau,2024-10-25,https://www.seek.com.au/job/79724348?type=standard&ref=search-standalone&origin=cardTitle
2025 Graduate Program - Data Science and Analytics,Icon Group,N/A,Sydney NSW,Database Development & Administration (Information & Communication Technology),Contract/Temp,SQL R Excel ai r,2024-10-25,https://www.seek.com.au/job/79723835?type=standard&ref=search-standalone&origin=cardTitle
Senior Data Analyst - Regulatory Reporting - SQL + Teradata,GradConnection,N/A,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Full time,R Excel ai r excel Power BI,2024-10-24,https://www.seek.com.au/job/79692906?type=standout&ref=search-standalone&origin=cardTitle
"Pharmacy Data Analyst - Slade Pharmacy, Australia",Bluefin Resources Pty Limited,$120k - $150k p.a. + + Bonus,Sydney NSW,Database Development & Administration (Information & Communication Technology),Full time,R AWS ai r analytics,2024-10-23,https://www.seek.com.au/job/79668402?type=standard&ref=search-standalone&origin=cardTitle
Data Analyst Metering,Hungry Jack's Pty Ltd,"$70,000 – $80,000 per year","Woolloomooloo, Sydney NSW",Business/Systems Analysts (Information & Communication Technology),Full time,SQL Analytics R ETL JIRA ai r analytics Python Tableau Power BI,2024-10-25,https://www.seek.com.au/job/79726121?type=standout&ref=search-standalone&origin=cardTitle
Financial Data Analyst,Sharp & Carter Finance & Accounting Syd,N/A,Sydney NSW,Analysis & Reporting (Accounting),Contract/Temp,R r ai,Posted 20h ago,https://www.seek.com.au/job/79749769?type=standout&ref=search-standalone&origin=cardTitle
Data Analyst,Sydney Water,N/A,"Parramatta, Sydney NSW",Other (Information & Communication Technology),Contract/Temp,SQL R SAS Excel ai statistical r analytics Python Power BI,2024-10-19,https://www.seek.com.au/job/79598806?type=standout&ref=search-standalone&origin=cardTitle
ICT Data Analyst,Crown Equipment Pty Limited,N/A,"Smithfield, Sydney NSW",Business/Systems Analysts (Information & Communication Technology),Full time,SQL R ETL Excel ai r Power BI,2024-10-18,https://www.seek.com.au/job/79587594?type=standout&ref=search-standalone&origin=cardTitle
Senior Data Support Analyst,Just Better Care Australia Pty Ltd,N/A,Sydney NSW,Engineering - Software (Information & Communication Technology),Full time,SQL R ETL AWS Excel ai Snowflake r Python Power BI,2024-10-19,https://www.seek.com.au/job/79597411?type=standout&ref=search-standalone&origin=cardTitle
Data Engineer / Analyst,Ethos BeathChapman,"1110,000 - 130,000 + Super + Bonus",Sydney NSW,Compliance & Risk (Banking & Financial Services),Full time,SQL Analytics R ai r Power BI,2024-10-25,https://www.seek.com.au/job/79725073?type=standard&ref=search-standalone&origin=cardTitle
"Data Analyst, Financial Crime",Randstad Digital,"Above market salary, hybrid work culture",Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Full time,SQL R ETL Excel ai r analytics Python excel sas python,2024-10-17,https://www.seek.com.au/job/79535911?type=standard&ref=search-standalone&origin=cardTitle
Senior Data Support Analyst,Cuscal Limited (SR),N/A,Sydney NSW,Analysts (Consulting & Strategy),Contract/Temp,SQL R Databricks ai AI r analytics Power BI,2024-10-18,https://www.seek.com.au/job/79586144?type=standout&ref=search-standalone&origin=cardTitle
Risk Reporting Analyst,Randstad Digital,"Above market salary, hybrid work culture",Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Full time,SQL R ETL Excel ai r analytics Python excel sas python,2024-10-17,https://www.seek.com.au/job/79542869?type=standard&ref=search-standalone&origin=cardTitle
Senior Data Analyst,FourQuarters Recruitment,900 daily rate,Sydney NSW,Database Development & Administration (Information & Communication Technology),Contract/Temp,SQL R ETL Excel r Python,2024-10-24,https://www.seek.com.au/job/79699912?type=standard&ref=search-standalone&origin=cardTitle
Business Analyst | Data Governance | Insurance,Robert Half,$154k - $155k p.a. + + Super,Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Contract/Temp,R r Excel ai,2024-10-19,https://www.seek.com.au/job/79596680?type=standard&ref=search-standalone&origin=cardTitle
Data Analysts / Senior Data Analysts,Services Australia,N/A,"Parramatta, Sydney NSW",Database Development & Administration (Information & Communication Technology)Government - Federal (Government & Defence),Full time,r analytics ai,2024-10-14,https://www.seek.com.au/job/79471981?type=standout&ref=search-standalone&origin=cardTitle
Data Analyst,The Data School Pty Ltd,"$65,000 – $70,000 per year",Sydney NSW,Business/Systems Analysts (Information & Communication Technology),Full time,SQL Tableau r ai,2024-10-08,https://www.seek.com.au/job/79346975?type=standout&ref=search-standalone&origin=cardTitle
Senior Data Analyst - Operations,Nanosonics Limited,N/A,"Macquarie Park, Sydney NSW",Business/Systems Analysts (Information & Communication Technology),Full time,quantitative SQL R Excel ai r analytics excel Power BI,2024-10-23,https://www.seek.com.au/job/79691564?type=standout&ref=search-standalone&origin=cardTitle
Senior Technical Data Analyst - AI Platforms,Refresco Australia Pty Ltd,"$65,000 – $70,000 per year","Condell Park, Sydney NSW","Analysis & Reporting (Manufacturing, Transport & Logistics)",Full time,SQL Analytics ml ai AI Jira r Python ML,2024-10-24,https://www.seek.com.au/job/79715282?type=promoted&ref=search-standalone&origin=cardTitle
Project Operations Performance Analyst,efm Logistics Pty Ltd,N/A,"Pyrmont, Sydney NSW",Analysis & Reporting (Accounting),Full time,SQL Analytics R Excel ai statistical r Tableau Power BI,Posted 20h ago,https://www.seek.com.au/job/79748646?type=promoted&ref=search-standalone&origin=cardTitle
